id,School_Name,Ship_Address_Line_1,Ship_Address_Line_2,locality,Mail_Zip,Overall_Accountability_Rating,Overall_Accountability_Score,School_Enrollment,SchoolLevel,SWD,ED,LEP,Lowest_Grade_in_the_School,Highest_Grade_in_the_School,School_Student_Achievement_Score,School_ELA_Achievement_Score,School_Mathematics_Achievement_Score,School_Student_Growth_Score,School_ELA_Growth_Score,School_Mathematics_Growth_Score,School_Closing_Gaps_Score,School_ELA_Gap_Score,School_Mathematics_Gap_Score,School_Graduation_Gap_Score,School_On-Track_and_Postsecondary_Readiness_Score,School_Graduation_Rate_Score,School_Attendance_Rate_Score,School_Third-Grade_ELA_Achievement_Score,School_Eighth-Grade_Mathematics_Achievement_Score,Agency_type,Charter_school_indicator,Charter_Type,District_or_Authorizer,Enrollment_type,Enrollment_detail
NA-1701,A Promise of Hope Academy,5226 W. Hampton Ave.,"Milwaukee, WI 53218",Milwaukee,53218,Not Rated*,,55,Elementary School,1.8,100,0,K4,3,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
3619-316,Academy of Accelerated Learning,3727 S 78th St,Milwaukee WI  53220-1603,Milwaukee,53220,Meets Expectations,69.7,637,Elementary School,16.2,68.3,17.9,K3,5,58.6,29.7,29,62.3,32.1,30.2,68.2,32.2,36,,86.6,,75,11.6,,Public school,No,,,District,District
NA-1652,Academy of Excellence,1236 W. Pierce St.,"Milwaukee, WI 53204",Milwaukee,53204,Exceeds Expectations,74.3,793,Elementary/Secondary School,4,85.4,24.5,K4,12,16,7.2,8.9,88.8,44.4,44.4,,,,,72.7,,70.7,1.3,0.7,Private school,No,,,Private,Private
3619-162,ALBA - Academia de Lenguaje y Bellas Artes,1712 S 32nd St,Milwaukee WI  53215-2104,Milwaukee,53215,Meets Expectations,68.8,493,Elementary School,19.1,69.6,61.1,K3,5,57,26.5,30.5,59.4,32.1,27.3,70.4,40.6,29.8,,86.3,,76.3,10,,Public school,Yes,Instrumentality,Milwaukee,District,District Instrumentality Charter
3619-75,Alcott Elementary,3563 S 97th St,Milwaukee WI  53228-1416,Milwaukee,53228,Meets Expectations,71.4,347,Elementary School,18.7,74.6,0.9,K3,8,56.7,31.8,24.9,84,50,34,41.8,23.4,18.4,,81.1,,73.3,4.5,3.3,Public school,No,,,District,District
3619-73,Allen-Field Elementary,730 W Lapham Blvd,Milwaukee WI  53204-3428,Milwaukee,53204,Exceeds Expectations,76.7,657,Elementary School,28.5,92.2,43.5,K3,5,26.6,13.7,13,88.7,38.7,50,63.6,31.7,31.9,,78.1,,73.5,4.6,,Public school,No,,,District,District
3619-413,Alliance School of Milwaukee,850 W Walnut St,Milwaukee WI  53205,Milwaukee,53205,Fails to Meet Expectations,39.8,200,Elementary/Secondary School,27.5,76.5,2.5,9,12,22.8,15.4,7.5,,,,60.3,,,60.3,57.6,57.6,,,,Public school,Yes,Instrumentality,Milwaukee,District,District Instrumentality Charter
3619-1063,ASSATA High,3517 W Courtland Ave,Milwaukee WI  53209-5919,Milwaukee,53209,Alternate Rating - Satisfactory Progress,AR,109,High School,14.7,84.4,0,9,12,,,,,,,,,,,,,,,,Public school,No,,,District,District
NA-1263,Atlas Preparatory Academy,1039 E. Russell Ave.,"Milwaukee, WI 53207",Milwaukee,53207,Meets Few Expectations,59.3,693,Elementary/Secondary School,0.7,79.2,29.5,K4,12,21.7,12.2,9.5,64.2,30.2,34,,,,,77.2,,73.3,2.9,1,Private school,No,,,Private,Private
NA-1301,Atonement Lutheran School,4224 W. Ruby Avenue,"Milwaukee, WI 53209",Milwaukee,53209,Exceeds Expectations,81.2,85,Elementary School,1.2,98.8,0,K4,8,43.4,20.8,22.7,84.1,39.7,44.4,,,,,84.8,,77.1,3.7,4,Private school,No,,,Private,Private
5355-20,Atwater Elementary,2100 E Capitol Dr,Shorewood WI  53211-2198,Shorewood,53211,Significantly Exceeds Expectations,83.9,542,Elementary School,7.9,16.6,9.6,K4,6,81.3,40,41.4,67,27.3,39.7,87.7,42.4,45.3,,92.6,,76,16.6,,Public school,No,,,District,District
3619-434,Audubon Technology and Communication High School,3300 S 39th St,Milwaukee WI  53215-4019,Milwaukee,53215,Fails to Meet Expectations,47.3,371,High School,25.3,82.2,11.1,9,12,28.2,20.6,7.6,,,,60.7,14.8,13.2,32.7,83.9,83.9,,,,Public school,No,,,District,District
3619-41,Audubon Technology and Communication Middle School,3300 S 39th St,Milwaukee WI  53215-4019,Milwaukee,53215,Fails to Meet Expectations,51.5,581,Middle School,23.9,87.6,24.8,6,8,27.5,17.7,9.9,48.9,25.4,23.5,60,28.8,31.2,,72.3,,68.2,,4.1,Public school,No,,,District,District
3619-77,Auer Avenue Elementary,2319 W Auer Ave,Milwaukee WI  53206-1735,Milwaukee,53206,Fails to Meet Expectations,44.3,266,Elementary School,28.9,98.5,0,K3,8,9.1,5.7,3.5,30,9.3,20.7,68.9,31.4,37.5,,72.5,,71.4,0.5,0.6,Public school,No,,,District,District
NA-856,Bader Hillel Academy,6401 N. Santa Monica Blvd.,"Fox Point, WI 53217",Fox Point,53217,Not Rated*,,65,Elementary School,0,66.2,0,KG,8,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
3619-432,Banner Preparatory School of Milwaukee,4610 W State St,Milwaukee WI  53208,Milwaukee,53208,Alternate Rating - Satisfactory Progress,AR,52,Elementary/Secondary School,42.3,86.5,0,9,12,,,,,,,,,,,,,,,,Public school,No,,,District,District
3619-188,Barbee Elementary,4456 N Teutonia Ave,Milwaukee WI  53209-6225,Milwaukee,53209,Meets Few Expectations,54.6,341,Elementary School,21.4,85,0,K3,6,18.9,10.2,8.7,26.2,20.7,5.5,87.7,41.2,46.5,,79.7,,74.5,5.2,,Public school,No,,,District,District
3619-81,Barton Elementary,5700 W Green Tree Rd,Milwaukee WI  53223-5220,Milwaukee,53223,Meets Few Expectations,56,301,Elementary School,19.6,97,2,K3,6,25,13.5,11.6,57.5,32.1,25.4,58.2,27.4,30.8,,77.3,,71.5,5.8,,Public school,No,,,District,District
3619-12,Bay View High,2751 S Lenox St,Milwaukee WI  53207-2209,Milwaukee,53207,Fails to Meet Expectations,29.8,820,High School,24.8,90.2,6.1,9,12,17.7,11.5,6.3,,,,53.6,14.6,16.3,22.7,56.3,56.3,,,,Public school,No,,,District,District
1890-20,Bayside Middle,601 E Ellsworth Ln,Milwaukee WI  53217-1827,Bayside,53217,Significantly Exceeds Expectations,88.8,367,Middle School,10.1,13.6,1.6,5,8,93.5,49.3,44.3,77.5,43.5,34,81.8,40.1,41.7,,93.3,,77,,16.3,Public school,No,,,District,District
NA-1303,Believers in Christ Christian Academy,4065 N. 25th. St.,"Milwaukee, WI 53209",Milwaukee,53209,Meets Few Expectations,55.1,245,Elementary/Secondary School,0,93.5,0,K4,12,28.5,18,10.6,48,22.6,25.4,,,,,82.1,,75.9,4.5,1.7,Private school,No,,,Private,Private
1900-20,Ben Franklin Elementary,7620 S 83rd St,Franklin WI  53132-8945,Franklin,53132,Significantly Exceeds Expectations,87.3,367,Elementary School,16.1,10.9,3.8,PK,6,88.2,44.5,43.8,78.4,40.6,37.8,83,49.9,33.1,,93.4,,76.8,16.6,,Public school,No,,,District,District
3619-356,Bethune Academy,1535 N 35th St,Milwaukee WI  53208-2315,Milwaukee,53208,Meets Expectations,64.4,530,Elementary School,24.2,99.1,27.9,K3,8,23.8,13,10.8,74.6,36.8,37.8,62.7,30.5,32.2,,75.7,,72.8,1.5,1.4,Public school,No,,,District,District
5439-10,Blakewood Elementary,3501 Blakewood Ave,South Milwaukee WI  53172-3499,South Milwaukee,53172,Meets Expectations,67.3,366,Elementary School,17.5,47,2.2,K4,5,63.8,30.9,32.9,50.8,15.9,34.9,69.4,30.8,38.6,,89.2,,75.7,13.5,,Public school,No,,,District,District
NA-1304,Blessed Sacrament Grade School,3126 S. 41st St,"Milwaukee, WI 53215",Milwaukee,53215,Meets Expectations,72.8,179,Elementary School,5,95.5,6.3,K4,8,22.5,15.1,7.4,73.7,37.8,35.9,,,,,85.3,,80,4.3,1,Private school,No,,,Private,Private
NA-1507,Blessed Savior Catholic School,5140 N. 55th St.,"Milwaukee, WI 53218",Milwaukee,53218,Meets Expectations,68.2,550,Elementary School,2.4,99.8,0.2,K4,8,20.5,12.2,8.3,68,30.2,37.8,,,,,83,,80,1.5,1.5,Private school,No,,,Private,Private
3619-14,Bradley Technology High,700 S Fourth St,Milwaukee WI  53204-1760,Milwaukee,53204,Fails to Meet Expectations,29.3,844,High School,27.5,94.2,3.9,9,12,12.5,8.7,3.9,,,,55.6,14.1,19.2,22.3,60.5,60.5,,,,Public school,No,,,District,District
721-80,Brown Deer Elementary,5757 W Dean Rd,Brown Deer WI  53223-2946,Brown Deer,53223,Exceeds Expectations,74.2,825,Elementary School,13.2,43.3,8,K4,6,68.6,35.2,33.4,60.3,33,27.3,76.8,40.3,36.5,,92.8,,76.2,16.6,,Public school,No,,,District,District
721-40,Brown Deer Middle/High,8060 N 60th St,Brown Deer WI  53223-3538,Brown Deer,53223,Meets Expectations,68.7,792,High School,14.3,42,3,7,12,53.9,29.4,24.5,58.5,24.5,34,72.6,15.2,15.5,41.9,89,77.8,,,11.2,Public school,No,,,District,District
3619-89,Brown Street Academy,2029 N 20th St,Milwaukee WI  53205-1140,Milwaukee,53205,Fails to Meet Expectations,51.4,310,Elementary School,23.2,94.8,0.3,K3,5,12,5.9,6.1,35.7,20.7,15,85.6,39.8,45.8,,73.4,,70.8,2.6,,Public school,No,,,District,District
3619-92,Browning Elementary,5440 N 64th St,Milwaukee WI  53218-3020,Milwaukee,53218,Fails to Meet Expectations,43.6,263,Elementary School,30.8,98.5,0.4,K3,5,24.1,13.9,10.2,28.1,13.1,15,61.7,29.3,32.4,,77.3,,71.6,5.7,,Public school,No,,,District,District
3619-93,Bruce Elementary,6453 N 89th St,Milwaukee WI  53224-5307,Milwaukee,53224,Fails to Meet Expectations,43.3,212,Elementary School,26.9,97.6,0.9,K3,5,27,14.2,12.8,32.8,17.8,15,50.3,25.1,25.2,,78.4,,72.4,6,,Public school,No,,,District,District
8123-100,Bruce Guadalupe,1028 S 9th St,Milwaukee WI  53204-1335,Milwaukee,53204,Exceeds Expectations,74.2,1235,Elementary School,7,77.7,16.5,K4,8,63.8,32.9,31,68.9,34,34.9,67.4,38.1,29.3,,92.6,,79.9,6.4,6.3,Non District Charter Schools,Yes,2R,UW-Milwaukee,Autonomous charter,Non-District Charter
3619-94,Bryant Elementary,8718 W Thurston Ave,Milwaukee WI  53225-2829,Milwaukee,53225,Meets Few Expectations,62.9,253,Elementary School,24.9,99.6,0,K3,5,30.4,14.6,15.8,74.6,34.9,39.7,52.3,24.6,27.7,,78.9,,71.6,7.3,,Public school,No,,,District,District
3619-95,Burbank Elementary,6035 W Adler St,Milwaukee WI  53214-1835,Milwaukee,53214,Exceeds Expectations,75.8,648,Elementary School,17.4,87.5,19.3,K3,8,41.6,21.2,20.5,83.2,41.6,41.6,64.2,30.8,33.4,,81,,73.5,4,3.5,Public school,No,,,District,District
3619-98,Burdick Elementary,4348 S Griffin Ave,Milwaukee WI  53207-5026,Milwaukee,53207,Meets Expectations,68.7,658,Elementary School,14.1,47.7,2.3,K3,8,55.4,30.6,24.8,66,34.9,31.1,64.8,31.4,33.4,,85.2,,75.2,5.8,4.2,Public school,No,,,District,District
3619-109,Business and Economics Academy of Milwaukee,3620 N 18th St,Milwaukee WI  53206-2362,Milwaukee,53206,Fails to Meet Expectations,46.3,653,Elementary School,8,95.4,0,K4,8,18,9.1,9,43.2,17.8,25.4,51.3,23.6,27.7,,72.7,,70.4,1.4,0.9,Public school,Yes,Non-instrumentality,Milwaukee,Autonomous charter,District Non-Instrumentality Charter
NA-1558,Calvary's Christian Academy School of the Arts,921 N. 49th St.,"Milwaukee, WI 53208",Milwaukee,53208,Fails to Meet Expectations,33.7,22,Elementary School,0,100,0,K4,8,18.5,14.3,4.2,,,,,,,,94.3,,94.3,,,Private school,No,,,Private,Private
2296-40,Canterbury Elementary,7000 Enfield Ave,Greendale WI  53129-1730,Greendale,53129,Significantly Exceeds Expectations,83.7,330,Elementary School,10.3,20.3,7.6,PK,5,88.8,41.6,47.2,86.9,42.5,44.4,66.4,28.8,37.6,,92.1,,76.9,15.2,,Public school,No,,,District,District
8114-100,Capitol West Academy,3939 N 88th St,Milwaukee WI  53222-2748,Milwaukee,53222,Exceeds Expectations,76.8,288,Elementary School,11.1,98.6,2.1,K4,8,38,18.8,19.2,80.3,36.8,43.5,72.5,35,37.5,,82.6,,75.4,3.6,3.6,Non District Charter Schools,Yes,2R,UW-Milwaukee,Autonomous charter,Non-District Charter
3619-407,Carmen High School of Science and Technology South Campus,1712 S 32nd St,Milwaukee WI  53215-2104,Milwaukee,53215,Exceeds Expectations,74.9,358,High School,10.1,89.7,13.4,9,12,66.8,34.8,32,,,,81.6,23.2,25,33.4,77.8,77.8,,,,Public school,Yes,Non-instrumentality,Milwaukee,Autonomous charter,District Non-Instrumentality Charter
3619-451,Carmen High School of Science and Technology Southeast Campus,2500 West Oklahoma Ave,"Milwaukee, WI 53215",Milwaukee,53215,Alternate Rating - Satisfactory Progress,AR,169,High School,15.4,92.3,28.4,9,12,,,,,,,,,,,,,,,,Public school,Yes,Non-instrumentality,Milwaukee,Autonomous charter,District Non-Instrumentality Charter
3619-444,Carmen Middle/High School of Science and Technology Northwest Campus,5496 N 72nd St,Milwaukee WI  53218-2820,Milwaukee,53218,Meets Expectations,67.7,631,High School,14.1,85.9,2.5,6,12,35,18.8,16.3,54.7,30.2,24.5,85.6,46,39.6,,79.8,,75.3,,4.5,Public school,Yes,Non-instrumentality,Milwaukee,Autonomous charter,District Non-Instrumentality Charter
4018-10,Carollton Elementary,8965 S Carollton Dr,Oak Creek WI  53154-4199,Oak Creek,53154,Exceeds Expectations,75.9,428,Elementary School,9.1,23.1,7.7,PK,5,92.1,45.3,46.8,49.9,25.4,24.5,53.3,23.8,29.5,,95.1,,76.9,18.2,,Public school,No,,,District,District
3619-108,Carson Academy,4920 W Capitol Dr,Milwaukee WI  53216-2321,Milwaukee,53216,Fails to Meet Expectations,49.1,453,Elementary School,23.4,93.6,0.2,K3,8,15.5,10.2,5.3,43.3,22.6,20.7,61,27.9,33.1,,74.2,,70.7,2.3,1.2,Public school,No,,,District,District
NA-1382,Carter's Christian Academy,5268 N. 35th St.,"Milwaukee, WI 53209",Milwaukee,53209,Fails to Meet Expectations,21.6,228,Elementary/Secondary School,0.9,99.6,0,K4,10,4.3,1.6,2.7,13.8,10.2,3.6,,,,,67.9,,67.7,0,0.2,Private school,No,,,Private,Private
3619-178,Carver Academy,1900 N 1st St,Milwaukee WI  53212-3705,Milwaukee,53212,Fails to Meet Expectations,43.8,455,Elementary School,22.6,96.3,0,K3,8,14.2,6.9,7.3,28.1,7.4,20.7,68.4,30.3,38.1,,73.2,,71.5,1.1,0.6,Public school,No,,,District,District
3619-104,Cass Street Elementary,1647 N Cass St,Milwaukee WI  53202-2026,Milwaukee,53202,Meets Few Expectations,59.6,419,Elementary School,21.7,92.8,1.4,K3,8,22.8,13,9.9,77.4,40.6,36.8,39.8,18.4,21.4,,74.6,,71.5,2,1.1,Public school,No,,,District,District
NA-309,Catholic East Elementary,2461 N. Murray Ave.,"Milwaukee, WI 53211",Milwaukee,53211,Meets Expectations,66.8,268,Elementary School,1.5,48.5,0,K4,8,67.3,36.8,30.5,55.5,28.2,27.3,,,,,89.5,,76.4,7.3,5.8,Private school,No,,,Private,Private
4018-20,Cedar Hills Elementary,2225 W Sycamore Ave,Oak Creek WI  53154-1049,Oak Creek,53154,Exceeds Expectations,76.8,288,Elementary School,10.4,38.9,19.8,PK,5,75.5,38.7,36.9,59.4,33,26.4,82.3,49.9,32.4,,91.8,,75.2,16.6,,Public school,No,,,District,District
8105-1211,Central City Cyberschool,4301 N 44th St,Milwaukee WI  53216,Milwaukee,53216,Exceeds Expectations,76.6,419,Elementary School,7.9,96.7,0,K4,8,47.3,23.5,23.8,77.5,41.6,35.9,73.1,41.7,31.4,,84.2,,76.6,4.7,2.9,Non District Charter Schools,Yes,2R,City of Milwaukee,Autonomous charter,Non-District Charter
6300-20,Central High,8516 W Lincoln Ave,West Allis WI  53227-2599,West Allis,53227,Fails to Meet Expectations,49.9,1305,High School,14.8,63.7,3.1,9,12,32.9,18.5,14.5,,,,57.4,8.2,11.8,37.4,94,94,,,,Public school,No,,,District,District
NA-1305,Christ-St Peter Lutheran School,2229 West Greenfield Ave.,"Milwaukee, WI 53204",Milwaukee,53204,Meets Expectations,64.5,233,Elementary School,1.7,82,21.9,K4,8,29.2,15.7,13.5,63.2,35.9,27.3,,,,,78.6,,74.5,3,1.1,Private school,No,,,Private,Private
NA-1384,Christian Faith Academy of Higher Learning,2327 N. 53rd. Street,"Milwaukee, WI 53210",Milwaukee,53210,Fails to Meet Expectations,48.7,104,Elementary School,3.8,99,0,K4,8,16.8,8.8,8,40.4,18.8,21.6,,,,,91.3,,91.3,,,Private school,No,,,Private,Private
NA-1044,Clara Mohammed School,317 W. Wright St.,"Milwaukee, WI 53212",Milwaukee,53212,Fails to Meet Expectations,48,208,Elementary/Secondary School,0,98.6,7.7,K4,12,10.6,6.1,4.5,41.4,30.2,11.2,,,,,77,,75.9,1.1,,Private school,No,,,Private,Private
3619-110,Clarke Street Elementary,2816 W Clarke St,Milwaukee WI  53210-2621,Milwaukee,53210,Fails to Meet Expectations,40.9,308,Elementary School,30.8,97.4,0,K3,8,15.8,8.9,6.9,26.1,12.1,14,59.8,27.2,32.6,,73.8,,70.9,1.7,1.2,Public school,No,,,District,District
3619-114,Clemens Elementary,3600 W Hope Ave,Milwaukee WI  53216-1761,Milwaukee,53216,Meets Expectations,64.7,275,Elementary School,18.2,98.5,0,K3,5,24.2,13,11.2,75.6,43.5,32.1,62.7,28.8,33.9,,75.2,,70.5,4.7,,Public school,No,,,District,District
3619-113,Clement Avenue Elementary,3666 S Clement Ave,Milwaukee WI  53207-3566,Milwaukee,53207,Meets Expectations,72.1,432,Elementary School,19.2,63.9,0.9,K3,8,58.3,33.3,25.1,70.8,38.7,32.1,64.2,30.8,33.4,,85.3,,75,7.2,3.1,Public school,No,,,District,District
2296-50,College Park Elementary,5701 W College Ave,Greendale WI  53129-2802,Greendale,53129,Significantly Exceeds Expectations,95.6,289,Elementary School,6.9,30.4,9,KG,5,96.5,48.4,48.1,87.8,50,37.8,100,50,50,,96.9,,77.4,19.5,,Public school,No,,,District,District
3619-416,Community High School,6700 N 80th St,Milwaukee WI  53223-5506,Milwaukee,53223,Fails to Meet Expectations,37.2,235,High School,37.4,86.8,1.7,9,12,8.8,6.4,2.4,,,,61.3,14.8,17.3,29.2,70.8,70.8,,,,Public school,No,,,District,District
3619-116,Congress Elementary,5225 W Lincoln Creek Dr,Milwaukee WI  53218-5721,Milwaukee,53218,Meets Few Expectations,58.8,748,Elementary School,21,82.2,0,K3,8,25.4,13.9,11.6,59.4,29.2,30.2,66,29.8,36.2,,77.2,,72.2,2.8,2.2,Public school,No,,,District,District
3619-117,Cooper Elementary,5143 S 21st St,Milwaukee WI  53221-3533,Milwaukee,53221,Exceeds Expectations,79.1,431,Elementary School,21.6,59.2,4.4,K3,8,74.6,41.7,32.9,73.6,44.4,29.2,79.4,45.3,34.1,,89.6,,75.4,8.7,5.5,Public school,No,,,District,District
1900-40,Country Dale Elementary,7380 S North Cape Rd,Franklin WI  53132-1651,Franklin,53132,Significantly Exceeds Expectations,92.8,502,Elementary School,8.2,13.3,4.8,PK,6,91.7,46.3,45.4,77.5,43.5,34,100,50,50,,93.7,,76,17.7,,Public school,No,,,District,District
3619-501,Craig Montessori School,7667 W Congress St,Milwaukee WI  53218-5349,Milwaukee,53218,Exceeds Expectations,75.7,445,Elementary School,13,62.5,0,K3,8,32.1,18.9,13.2,89.8,42.5,47.3,55.8,27.2,28.6,,83,,74.3,3.1,5.6,Public school,No,,,District,District
NA-1712,Cristo Rey Jesuit Milwaukee High School,1215 South 45th St.,"West Milwaukee, WI 53214",West Milwaukee,53214,Not Rated*,,234,High School,0.9,89.3,0,9,11,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
NA-1489,Cross Trainers Academy,1530 W. Center St.,"Milwaukee, WI 53206",Milwaukee,53206,Meets Few Expectations,57.1,263,Elementary/Secondary School,8.4,95.1,0,K4,11,24.1,15.1,9.1,61.3,34,27.3,,,,,75.6,,72.5,2.4,0.7,Private school,No,,,Private,Private
1253-40,Cudahy High,4950 S Lake Dr,Cudahy WI  53110-1700,Cudahy,53110,Meets Few Expectations,60.5,713,High School,15.1,50.9,4.8,9,12,40.4,22.9,17.6,,,,64.6,16.7,16.1,31.8,92.4,92.4,,,,Public school,No,,,District,District
1253-22,Cudahy Middle,5530 S Barland Ave,Cudahy WI  53110-2549,Cudahy,53110,Meets Few Expectations,59.8,551,Middle School,11.1,56.3,7.4,6,8,48,26.8,21.3,43.2,17.8,25.4,63.9,31.7,32.2,,87,,80,,7,Public school,No,,,District,District
6419-20,Cumberland Elementary,4780 N Marlborough Dr,Whitefish Bay WI  53211-1199,Whitefish Bay,53211,Significantly Exceeds Expectations,90.7,731,Elementary School,10.1,2.7,4.2,K4,5,91.7,48.8,43,59.4,36.8,22.6,90.6,49.4,41.2,,95.4,,76.1,19.3,,Public school,No,,,District,District
3619-122,Curtin Elementary,3450 S 32nd St,Milwaukee WI  53215-4204,Milwaukee,53215,Meets Expectations,70.4,310,Elementary School,15.2,84.2,4.2,K3,8,60.4,33.5,26.9,56.5,33,23.5,81.1,42.2,38.9,,86.7,,75.4,7.5,3.8,Public school,No,,,District,District
3619-820,Daniels University Preparatory Academy,4834 N Mother Daniels Way,Milwaukee WI  53209-5981,Milwaukee,53209,Meets Expectations,63.3,225,Elementary/Secondary School,16,92.9,0,K4,8,15.4,7.1,8.4,73.6,28.2,45.4,66.9,28.8,38.1,,71,,69.6,0.3,1.1,Public school,Yes,Non-instrumentality,Milwaukee,Autonomous charter,District Non-Instrumentality Charter
8109-100,Darrell Lynn Hines Academy,7151 86th St,Milwaukee WI  53224-4861,Milwaukee,53224,Meets Few Expectations,58.8,283,Elementary School,0,90.8,0,K4,8,26.8,15.8,11,51.8,26.4,25.4,57.4,28.1,29.3,,79.3,,74.5,2.9,1.9,Non District Charter Schools,Yes,2R,City of Milwaukee,Autonomous charter,Non-District Charter
5026-20,Deer Creek Intermediate,3680 S Kinnickinnic Ave,Saint Francis WI  53235-3742,Saint Francis,53235,Exceeds Expectations,74.1,329,Elementary School,13.1,39.5,5.2,4,8,65,33.3,31.7,77.4,36.8,40.6,66.2,34.5,31.7,,86.5,,74,,12.5,Public school,No,,,District,District
