id,School_Name,Ship_Address_Line_1,Ship_Address_Line_2,locality,Mail_Zip,Overall_Accountability_Rating,Overall_Accountability_Score,School_Enrollment,SchoolLevel,SWD,ED,LEP,Lowest_Grade_in_the_School,Highest_Grade_in_the_School,School_Student_Achievement_Score,School_ELA_Achievement_Score,School_Mathematics_Achievement_Score,School_Student_Growth_Score,School_ELA_Growth_Score,School_Mathematics_Growth_Score,School_Closing_Gaps_Score,School_ELA_Gap_Score,School_Mathematics_Gap_Score,School_Graduation_Gap_Score,School_On-Track_and_Postsecondary_Readiness_Score,School_Graduation_Rate_Score,School_Attendance_Rate_Score,School_Third-Grade_ELA_Achievement_Score,School_Eighth-Grade_Mathematics_Achievement_Score,Agency_type,Charter_school_indicator,Charter_Type,District_or_Authorizer,Enrollment_type,Enrollment_detail
1897-20,Indian Hill Elementary,1101 W Brown Deer Rd,River Hills WI  53217-2199,River Hills,53217,Alternate Rating - Satisfactory Progress,AR,172,Elementary School,12.8,9.9,12.8,K4,2,,,,,,,,,,,,,,,,Public school,No,,,District,District
NA-1527,Inst of Technology & Academics,8940 N. 85th Street,"Milwaukee, WI 53224",Milwaukee,53224,Meets Few Expectations,61,258,Elementary/Secondary School,5,97.7,0,K4,8,15,8.3,6.7,60.4,24.5,35.9,,,,,76.6,,73.5,2.5,0.6,Private school,No,,,Private,Private
6300-140,Irving Elementary,10230 W Grant St,West Allis WI  53227-1399,West Allis,53227,Meets Expectations,69.9,501,Elementary School,22,48.9,0.8,K4,5,71.3,37.2,34.1,80.3,38.7,41.6,35.3,22.9,12.4,,89.5,,74.9,14.6,,Public school,No,,,District,District
3619-377,Jackson Elementary,2121 W Hadley St,Milwaukee WI  53206-1620,Milwaukee,53206,Meets Few Expectations,57.3,311,Elementary School,30.5,96.5,0.3,K3,5,30.2,16.2,14,57.5,27.3,30.2,62,27.2,34.8,,77.7,,71.8,5.9,,Public school,No,,,District,District
3619-409,James Madison Academic Campus,8135 W Florist Ave,Milwaukee WI  53218-1745,Milwaukee,53218,Fails to Meet Expectations,33.6,705,High School,26.4,99.6,1.1,9,12,11.1,8.6,2.6,,,,54.6,13.5,17.3,23.8,61.4,61.4,,,,Public school,No,,,District,District
6300-160,Jefferson Elementary,7229 W Becher St,West Allis WI  53219-1200,West Allis,53219,Meets Expectations,68.4,570,Elementary School,11.1,64.7,3.7,K4,5,67.8,35.6,32.3,69.8,36.8,33,46.5,25.1,21.4,,87.9,,74.1,13.8,,Public school,No,,,District,District
6244-100,Jefferson Elementary,6927 Maple Ter,Wauwatosa WI  53213-3195,Wauwatosa,53213,Significantly Exceeds Expectations,85.1,277,Elementary School,14.4,20.9,1.1,K4,5,89.5,44.9,44.6,77.5,35.9,41.6,72.9,39.8,33.1,,95.8,,77.7,18.1,,Public school,No,,,District,District
NA-1684,Jo's Learning Academy,4801 W. North Ave.,"Milwaukee, WI 53208",Milwaukee,53208,Not Rated*,,37,Elementary School,2.7,64.9,0,K4,2,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
1253-60,Jones Elementary,5845 S Swift Ave,Cudahy WI  53110-2799,Cudahy,53110,Meets Expectations,72.2,119,Elementary School,25.2,35.3,1.7,K4,5,72.8,39.2,33.6,57.5,34.9,22.6,66.2,36.7,29.5,,92.3,,76.2,16.1,,Public school,No,,,District,District
3619-232,Kagel Elementary,1210 W Mineral St,Milwaukee WI  53204-2132,Milwaukee,53204,Meets Expectations,69.3,288,Elementary School,16,97.2,42,K3,5,34.5,16.2,18.3,62.2,27.3,34.9,78.2,42.2,36,,80.1,,72.9,7.2,,Public school,No,,,District,District
3619-235,Keefe Avenue Elementary,1618 W Keefe Ave,Milwaukee WI  53206-2359,Milwaukee,53206,Fails to Meet Expectations,52.5,256,Elementary School,22.3,92.6,0.8,K3,8,16.6,10,6.7,47,19.7,27.3,69.8,32.2,37.6,,72.1,,68.7,2.4,1,Public school,No,,,District,District
3619-237,Kilbourn Elementary,5354 N 68th St,Milwaukee WI  53218-2901,Milwaukee,53218,Exceeds Expectations,81.5,252,Elementary School,19,94.8,0,K3,5,38.1,20.7,17.4,75.6,39.7,35.9,99.9,49.9,50,,82.2,,73.3,8.9,,Public school,No,,,District,District
3619-20,King International,1801 W Olive St,Milwaukee WI  53209-6840,Milwaukee,53209,Meets Expectations,70,1525,Elementary/Secondary School,10.8,48,0.4,9,12,60.5,35.4,25.1,,,,68.7,18.7,17.8,32.2,91.4,91.4,,,,Public school,No,,,District,District
3619-210,King International Baccalaureate Middle,121 E Hadley St,Milwaukee WI  53209-5663,Milwaukee,53212,Meets Few Expectations,60.5,402,Middle School,15.9,86.1,0.7,6,8,26.2,16.7,9.5,59.4,33,26.4,74.6,37.6,37,,75.1,,70.8,,4.3,Public school,No,,,District,District
3619-199,King Jr Elementary,3275 N 3rd St,Milwaukee WI  53212-2064,Milwaukee,53212,Meets Few Expectations,54.1,354,Elementary School,27.7,97.7,0,K3,8,10.4,5.8,4.6,53.7,23.5,30.2,65.8,27.4,38.4,,72,,70.4,0.8,0.8,Public school,No,,,District,District
3619-337,Kluge Elementary,5760 N 67th St,Milwaukee WI  53218-2307,Milwaukee,53218,Meets Few Expectations,58.9,293,Elementary School,30,95.9,6.5,K3,5,26.6,12.2,14.4,48.9,15.9,33,66.2,29.5,36.7,,75.9,,71.7,4.2,,Public school,No,,,District,District
1253-140,Kosciuszko Elementary,5252 S Kirkwood Ave,Cudahy WI  53110-1943,Cudahy,53110,Meets Expectations,68.3,299,Elementary School,12.4,65.9,9,K4,5,51.4,27.7,23.7,58.5,34,24.5,72.5,38.1,34.4,,85.3,,74.4,10.9,,Public school,No,,,District,District
3619-1121,La Causa Charter School,1643 S 2nd St,Milwaukee WI  53204-2905,Milwaukee,53204,Exceeds Expectations,77.7,805,Elementary School,12.7,95,51.4,K4,8,32.5,18.3,14.3,80.3,43.5,36.8,77.9,39.8,38.1,,81.8,,75.1,3.6,3.1,Public school,Yes,Non-instrumentality,Milwaukee,Autonomous charter,District Non-Instrumentality Charter
3619-296,Lad Lake Synergy School,2820 W Grant St,Milwaukee WI  53215,Milwaukee,53215,Alternate Rating - Needs Improvement,AR,59,Elementary/Secondary School,32.2,100,15.3,6,12,,,,,,,,,,,,,,,,Public school,No,,,District,District
3619-238,LaFollette Elementary,3239 N 9th St,Milwaukee WI  53206-3251,Milwaukee,53206,Fails to Meet Expectations,46.7,210,Elementary School,31.9,100,0,K3,8,14.4,6.6,7.8,40.4,14,26.4,59.6,27,32.6,,71.7,,69,1.2,1.5,Public school,No,,,District,District
5355-40,Lake Bluff Elementary,1600 E Lake Bluff Blvd,Shorewood WI  53211-1599,Shorewood,53211,Significantly Exceeds Expectations,89.6,625,Elementary School,11.7,15.2,6.6,K4,6,95.9,47.9,48.1,73.7,32.1,41.6,82.3,42.2,40.1,,94.7,,76.5,18.2,,Public school,No,,,District,District
5439-40,Lakeview Elementary,711 Marion Ave,South Milwaukee WI  53172-3299,South Milwaukee,53172,Significantly Exceeds Expectations,84.8,322,Elementary School,17.4,64.3,3.1,K4,5,61.3,31,30.3,84.1,43.5,40.6,86.6,47.2,39.4,,89.4,,75.9,13.5,,Public school,No,,,District,District
3619-241,Lancaster Elementary,4931 N 68th St,Milwaukee WI  53218-3905,Milwaukee,53218,Fails to Meet Expectations,36.9,269,Elementary School,23.8,94.4,0.4,K3,8,13.4,8.8,4.6,16.6,10.2,6.4,63.2,28.8,34.4,,71.7,,69.5,1.6,0.6,Public school,No,,,District,District
6300-220,Lane Intermediate,1300 S 109th St,West Allis WI  53214-2300,West Allis,53214,Meets Expectations,72.7,537,Middle School,8.9,46.7,0.6,6,8,63.6,35,28.7,51.8,29.2,22.6,94.2,48.6,45.6,,84.8,,74.9,,9.9,Public school,No,,,District,District
3619-250,Lincoln Avenue Elementary,1817 W Lincoln Ave,Milwaukee WI  53215-2650,Milwaukee,53215,Meets Few Expectations,59.1,518,Elementary School,24.9,97.5,30.8,K3,5,29.9,13.8,16.2,49.9,19.7,30.2,63.9,29.5,34.4,,76.7,,71.8,4.9,,Public school,No,,,District,District
6244-120,Lincoln Elementary,1741 N Wauwatosa Ave,Wauwatosa WI  53213-2296,Wauwatosa,53213,Significantly Exceeds Expectations,92.7,303,Elementary School,9.2,10.6,1.3,K4,5,100,50,50,82.2,44.4,37.8,80.6,41,39.6,,96.4,,76.4,20,,Public school,No,,,District,District
1253-80,Lincoln Elementary,4416 S Packard Ave,Cudahy WI  53110-1195,Cudahy,53110,Exceeds Expectations,75.3,283,Elementary School,13.4,57.2,6,K4,5,62.8,35.1,27.7,74.6,41.6,33,66.5,37.2,29.3,,90.3,,75.2,15.1,,Public school,No,,,District,District
6300-200,Lincoln Intermediate,7815 W Lapham St,West Allis WI  53214-4599,West Allis,53214,Fails to Meet Expectations,52.8,251,Middle School,12.4,68.9,2,6,8,54.6,32,22.6,44.2,26.4,17.8,37.4,23.8,13.6,,83.3,,74.8,,8.5,Public school,No,,,District,District
3619-6,Lincoln Middle,820 E Knapp St,Milwaukee WI  53202-2718,Milwaukee,53202,Fails to Meet Expectations,48.4,707,Middle School,26.4,90.5,13,6,8,18.8,12.1,6.7,44.1,28.2,15.9,55.8,26,29.8,,74.5,,72.1,,2.4,Public school,No,,,District,District
6300-280,Longfellow Elementary,2211 S 60th St,West Allis WI  53219-2164,West Allis,53219,Meets Few Expectations,58,293,Elementary School,9.6,68.6,6.8,K4,5,60.6,32.7,27.9,45.1,23.5,21.6,50.6,30.8,19.8,,88.2,,73.8,14.4,,Public school,No,,,District,District
3619-256,Longfellow Elementary,1021 S 21st St,Milwaukee WI  53204-2030,Milwaukee,53204,Meets Expectations,65.9,880,Elementary School,23.8,98.8,29.5,K3,8,36.9,21.1,15.8,69.9,37.8,32.1,71.3,36,35.3,,79,,72.4,4.2,2.4,Public school,No,,,District,District
6244-140,Longfellow Middle,7600 W North Ave,Wauwatosa WI  53213-1719,Wauwatosa,53213,Exceeds Expectations,73.2,874,Middle School,7.3,22.1,0.3,6,8,79.5,42.4,37.1,48.9,25.4,23.5,64.3,35.5,28.8,,89.4,,75.7,,13.7,Public school,No,,,District,District
3619-257,Lowell Elementary,4360 S 20th St,Milwaukee WI  53221-2367,Milwaukee,53221,Meets Few Expectations,58.9,268,Elementary School,20.5,82.8,0.7,K3,5,51.1,23.9,27.2,49.8,21.6,28.2,51.5,21.2,30.3,,84.4,,74,10.4,,Public school,No,,,District,District
5439-20,Luther Elementary,718 Hawthorne Ave,South Milwaukee WI  53172-1734,South Milwaukee,53172,Exceeds Expectations,74.3,226,Elementary School,11.5,49.1,1.3,K4,5,67,31.6,35.5,73.7,37.8,35.9,66,34.8,31.2,,87.9,,76,11.9,,Public school,No,,,District,District
NA-1685,Lutheran Special School & Education Services,9700 W. Grantosa Dr.,"Milwaukee, WI 53222-",Milwaukee,53222,Not Rated*,,27,Elementary School,11.1,81.5,0,1,8,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
3619-870,MacDowell Montessori School K3-12,6415 W Mount Vernon Ave,Milwaukee WI  53213-4025,Milwaukee,53213,Meets Few Expectations,59.5,728,Elementary/Secondary School,18.1,67,0.4,K3,12,26.1,16.7,9.4,62.2,28.2,34,63.4,16.9,17.6,28.9,77.4,72.1,,3.9,1.4,Public school,No,,,District,District
6300-300,Madison Elementary,1117 S 104th St,West Allis WI  53214-2558,West Allis,53214,Meets Expectations,65,226,Elementary School,9.3,47.3,1.3,K4,5,58.1,31,27.2,65.1,34,31.1,45.3,24.8,20.5,,89.2,,75.4,13.8,,Public school,No,,,District,District
6244-160,Madison Elementary,9925 W Glendale Ave,Wauwatosa WI  53225-4799,Wauwatosa,53225,Meets Expectations,71.3,310,Elementary School,13.2,32.6,3.5,K4,5,72.2,36.6,35.6,59.4,29.2,30.2,61.9,32.4,29.5,,90.8,,76,14.8,,Public school,No,,,District,District
NA-1374,Malaika Early Learning Center,125 West Auer Ave.,"Milwaukee, WI 53212",Milwaukee,53212,Not Rated*,,93,Elementary School,1.1,100,0,K4,2,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
3619-265,Manitoba Elementary,4040 W Forest Home Ave,Milwaukee WI  53215-3538,Milwaukee,53215,Fails to Meet Expectations,52.4,589,Elementary School,22.2,85.2,9.7,K3,8,29.4,16.8,12.6,51.8,30.2,21.6,54.1,28.3,25.8,,76.4,,71.8,2.8,1.8,Public school,No,,,District,District
1897-40,Maple Dale Elementary,8377 N Port Washington Rd,Fox Point WI  53217-2653,Fox Point,53217,Exceeds Expectations,78.7,313,Elementary School,13.7,10.2,2.9,3,8,82.9,42.8,40.1,72.7,36.8,35.9,60.5,32.2,28.3,,91.8,,75.7,8,8.1,Public school,No,,,District,District
2303-160,Maple Grove Elementary,6921 W Coldspring Rd,Greenfield WI  53220-2910,Greenfield,53220,Meets Expectations,67.7,433,Elementary School,15.2,51.5,10.4,K4,5,64,33.3,30.7,61.3,34.9,26.4,58.1,32.9,25.2,,88.5,,75.9,12.6,,Public school,No,,,District,District
3619-267,Maple Tree Elementary,6644 N 107th St,Milwaukee WI  53224-5006,Milwaukee,53224,Fails to Meet Expectations,42.2,290,Elementary School,24.5,98.6,0.3,K3,5,15.8,8.5,7.4,22.4,9.3,13.1,71.3,36.5,34.8,,74,,71.2,2.8,,Public school,No,,,District,District
NA-1770,Marquette University High,3401 W. Wisconsin Ave.,"Milwaukee, WI 53208",Milwaukee,53208,Significantly Exceeds Expectations,95,132,High School,0,49.2,0,9,12,93.7,47.7,46,,,,,,,,100,,100,,,Private school,No,,,Private,Private
3619-8,Marshall High,4141 N. 64th Street,"Milwaukee, WI 53216",Milwaukee,53216,Alternate Rating - Needs Improvement,AR,880,High School,33.1,85.5,2.3,9,12,,,,,,,,,,,,,,,,Public school,No,,,District,District
NA-1782,Martin Luther High,5201 S. 76th St.,"Greendale, WI 53129",Greendale,53129,Fails to Meet Expectations,46.8,260,High School,2.3,3.5,0,9,12,35.9,19.5,16.4,,,,,,,,90.6,,90.6,,,Private school,No,,,Private,Private
NA-2880,Mary Queen of Saints Catholic Academy,1435 S. 92nd St.,"West Allis, WI 53214",West Allis,53214,Not Rated*,,161,Elementary School,3.7,32.9,0,K4,8,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
3619-268,Maryland Montessori,2418 N Maryland Ave,Milwaukee WI  53211-4438,Milwaukee,53211,Meets Expectations,71.3,433,Elementary School,12.2,23.8,0,K3,8,65.9,37.3,28.7,69.9,34,35.9,60.8,33.1,27.7,,89.8,,75.6,7.5,6.7,Public school,No,,,District,District
6244-180,McKinley Elementary,2435 N 89th St,Wauwatosa WI  53226-1899,Wauwatosa,53226,Significantly Exceeds Expectations,85.8,414,Elementary School,10.6,11.6,0,K4,5,95.9,48.3,47.7,80.3,46.3,34,62.5,26.7,35.8,,94.7,,76.4,18.3,,Public school,No,,,District,District
4018-80,Meadowview Elementary,10420 S McGraw Dr,Oak Creek WI  53154-6412,Oak Creek,53154,Exceeds Expectations,74.5,380,Elementary School,10,14.2,7.1,PK,5,82.7,40.8,42,70.8,35.9,34.9,45.8,23.1,22.7,,92.2,,76.3,15.9,,Public school,No,,,District,District
3619-176,Meir School,1615 N Martin Luther King Dr,Milwaukee WI  53212,Milwaukee,53212,Exceeds Expectations,76.1,1029,Elementary/Secondary School,5.6,52,0.4,3,11,77.2,41.8,35.4,64.2,34,30.2,79.5,50,29.5,,89.3,,73.7,8.4,7.2,Public school,No,,,District,District
NA-1606,Messmer Catholic Schools,742 W. Capitol Drive,"Milwaukee, WI 53206",Milwaukee,53206,Meets Few Expectations,61.9,1639,Elementary/Secondary School,4.9,77.7,3.4,K4,12,30,19.1,10.9,58.4,38.7,19.7,,,,,80.9,,76.1,3.6,1.2,Private school,No,,,Private,Private
3619-525,Metcalfe Elementary,3400 W North Ave,Milwaukee WI  53208-1448,Milwaukee,53208,Meets Few Expectations,54.5,274,Elementary School,27,97.4,0,K3,8,11.3,6.2,5.1,53.7,17.8,35.9,66.7,28.8,37.9,,72.2,,70.4,1.1,0.7,Public school,No,,,District,District
3619-103,Milwaukee Academy of Chinese Language,2430 W Wisconsin Ave,Milwaukee WI  53233-1828,Milwaukee,53233,Meets Few Expectations,53.9,435,Elementary School,17.9,94.5,28.3,K3,8,20.7,12.1,8.6,49.9,34,15.9,66.5,31,35.5,,75.4,,71.5,3.2,0.7,Public school,No,,,District,District
8106-1251,Milwaukee Academy of Science,2000 W Kilbourn Ave,Milwaukee WI  53233,Milwaukee,53233,Exceeds Expectations,77.6,1056,Elementary/Secondary School,11,93.5,0,K4,12,28.9,13.7,15.2,85,36.8,48.2,75,14.8,16.3,43.9,76.9,71.7,,2.2,3,Non District Charter Schools,Yes,2R,City of Milwaukee,Autonomous charter,Non-District Charter
3619-123,Milwaukee College Preparatory School -- 36th Street Campus,2449 N 36th St,"Milwaukee, WI 53210",Milwaukee,53210,Alternate Rating - Satisfactory Progress,AR,501,Elementary School,9.6,75.6,0,K4,8,,,,,,,,,,,,,,,,Public school,Yes,Non-instrumentality,Milwaukee,Autonomous charter,District Non-Instrumentality Charter
3619-111,Milwaukee College Preparatory School -- 38th Street,2623 N 38th St,Milwaukee WI  53210-2502,Milwaukee,53210,Significantly Exceeds Expectations,94.7,497,Elementary School,11.1,86.1,0,K4,8,58.8,32,26.9,100,50,50,100,50,50,,87.2,,76.5,7.6,3.1,Public school,Yes,Non-instrumentality,Milwaukee,Autonomous charter,District Non-Instrumentality Charter
3619-145,Milwaukee College Preparatory School -- Lloyd Street,1228 W Lloyd St,Milwaukee WI  53205,Milwaukee,53205,Significantly Exceeds Expectations,93.5,477,Elementary School,12.6,88.7,0,K4,8,56.7,30.1,26.6,97.3,50,47.3,100,50,50,,87.4,,75.9,6.7,4.8,Public school,Yes,Non-instrumentality,Milwaukee,Autonomous charter,District Non-Instrumentality Charter
3619-121,Milwaukee College Preparatory School: Lola Rowe North Campus,1350 W North Ave,"Milwaukee, WI 53205",Milwaukee,53205,Alternate Rating - Satisfactory Progress,AR,488,Elementary School,8.6,87.5,0,K4,8,,,,,,,,,,,,,,,,Public school,Yes,Non-instrumentality,Milwaukee,Autonomous charter,District Non-Instrumentality Charter
8127-400,Milwaukee Collegiate Academy,4030 N 29th St,Milwaukee WI  53216,Milwaukee,53216,Meets Few Expectations,53.9,300,High School,13.7,94.7,0.3,9,12,22.1,14.3,7.9,,,,76.7,12,16.8,47.9,96.8,96.8,,,,Non District Charter Schools,Yes,2R,City of Milwaukee,Autonomous charter,Non-District Charter
3619-441,Milwaukee Community Cyber High,131 S 1st St,Milwaukee WI  53204-1404,Milwaukee,53204,Fails to Meet Expectations,50.1,186,High School,16.1,89.8,4.8,9,12,19.2,12.5,6.7,,,,69.1,,,69.1,73.9,73.9,,,,Public school,Yes,Non-instrumentality,Milwaukee,Autonomous charter,District Non-Instrumentality Charter
1900-400,Milwaukee County Correctional Facility South,8255 W Forest Hill Ave,Franklin WI  53132,Franklin,53132,Alternate Rating - Satisfactory Progress,AR,53,High School,18.9,20.8,0,9,12,,,,,,,,,,,,,,,,Public school,No,,,District,District
3619-315,Milwaukee County Youth Education Center,949 N 9th St,Milwaukee WI  53233-1422,Milwaukee,53233,Alternate Rating - Needs Improvement,AR,42,Elementary/Secondary School,9.5,64.3,0,6,12,,,,,,,,,,,,,,,,Public school,No,,,District,District
3619-118,Milwaukee Environmental Science Academy,6600 WEST MELVINA STREET,Milwaukee WI 53216,Milwaukee,53216,Exceeds Expectations,77.3,390,Elementary School,17.2,89,0,K4,8,26.5,17.3,9.3,74.6,48.2,26.4,89.7,49.6,40.1,,80,,74.2,5.8,,Public school,Yes,Non-instrumentality,Milwaukee,Autonomous charter,District Non-Instrumentality Charter
3619-885,Milwaukee Excellence Charter School,4950 North 24th Street,"Milwaukee, WI 53209",Milwaukee,53209,Alternate Rating - Satisfactory Progress,AR,87,Elementary/Secondary School,17.2,82.8,0,6,12,,,,,,,,,,,,,,,,Public school,Yes,Non-instrumentality,Milwaukee,Autonomous charter,District Non-Instrumentality Charter
3619-140,Milwaukee French Immersion,2360 N 52nd St,Milwaukee WI  53210-2701,Milwaukee,53210,Meets Expectations,64.4,578,Elementary School,6.1,58.1,0,K3,5,57.7,34.9,22.8,49,39.7,9.3,67.5,35.8,31.7,,88.6,,76.1,12.5,,Public school,No,,,District,District
3619-146,Milwaukee German Immersion,3778 N 82nd St,Milwaukee WI  53222-2999,Milwaukee,53222,Meets Expectations,70.3,621,Elementary School,7.1,22.5,0.3,K3,5,75.2,38.2,37,68.9,29.2,39.7,44.3,24.1,20.2,,90.5,,76.9,13.6,,Public school,No,,,District,District
3619-38,Milwaukee High School of the Arts,2300 W Highland Ave,Milwaukee WI  53233-1007,Milwaukee,53233,Fails to Meet Expectations,48.5,916,High School,17.5,67.6,10.3,9,12,29.5,21.8,7.7,,,,58.8,11.9,13.4,33.5,90.8,90.8,,,,Public school,No,,,District,District
NA-1870,Milwaukee Lutheran High,9700 W. Grantosa Drive,"Milwaukee, WI 53222",Milwaukee,53222,Meets Few Expectations,53.1,750,High School,5.1,60.1,0.3,8,12,46.9,26.1,20.8,,,,,,,,71.8,,70.8,,1,Private school,No,,,Private,Private
8128-800,Milwaukee Math and Science Academy,110 W Burleigh St,Milwaukee WI  53212,Milwaukee,53212,Meets Expectations,65,379,Elementary/Secondary School,4.5,98.2,7.9,K4,8,28.8,15.5,13.3,59.4,34,25.4,89.4,50,39.4,,78,,72.3,3.6,2.1,Non District Charter Schools,Yes,2R,City of Milwaukee,Autonomous charter,Non-District Charter
3619-362,Milwaukee Parkside School,2969 S Howell Ave,Milwaukee WI  53207-2083,Milwaukee,53207,Meets Expectations,70.6,792,Elementary School,23.6,74.1,7.2,K3,8,43.5,25.9,17.6,65.1,35.9,29.2,75.6,40.3,35.3,,80.9,,73.1,4.4,3.4,Public school,No,,,District,District
8129-100,Milwaukee Scholars Charter School,7000 W Florist Ave,Milwaukee WI  53218,Milwaukee,53218,Exceeds Expectations,81.3,658,Elementary School,10,94.1,0.9,K4,8,28.3,15.5,12.8,91.7,48.2,43.5,75.1,39.1,36,,79.5,,74.6,3.2,1.7,Non District Charter Schools,Yes,2R,UW-Milwaukee,Autonomous charter,Non-District Charter
3619-71,Milwaukee School of Languages,8400 W Burleigh St,Milwaukee WI  53222-3717,Milwaukee,53222,Meets Expectations,66.9,1191,Elementary/Secondary School,16,51.3,2.3,6,12,49.7,30.1,19.6,65,36.8,28.2,64.4,15.2,14,35.2,81.7,73.6,,,8.1,Public school,No,,,District,District
NA-1873,Milwaukee Seventh Day Adventist School,10900 W. Mill Road,"Milwaukee, WI 53225",Milwaukee,53225,Meets Expectations,63.9,205,Elementary/Secondary School,0.5,93.2,5.9,K4,10,35.4,20,15.4,61.3,38.7,22.6,,,,,79.3,,75.1,2.5,1.7,Private school,No,,,Private,Private
3619-226,Milwaukee Sign Language Elementary,7900 W Acacia St,Milwaukee WI  53223-5623,Milwaukee,53223,Fails to Meet Expectations,51.1,525,Elementary School,25.9,85.3,1.1,K3,8,18.4,10.2,8.2,41.3,21.6,19.7,71.5,35,36.5,,74.8,,72,1.9,0.9,Public school,No,,,District,District
3619-167,Milwaukee Spanish Immersion,2765 S 55th St,Milwaukee WI  53219-3269,Milwaukee,53219,Exceeds Expectations,76.5,634,Elementary School,14,65.1,0.3,K3,5,69.1,38.2,30.9,72.6,50,22.6,73.5,44.4,29.1,,87.9,,73.4,14.5,,Public school,No,,,District,District
